Point,Type,NAME,KIND,ADMINCODE,ADDRESS
"[[121.38481404000004, 31.105803105000007]]",4,解放大厦2座,AF00,310112,都市路4855号
"[[121.50018954000001, 31.10594472]]",4,漕河泾出口加工区管委会大楼,AF00,310112,
"[[121.40163413999997, 31.105984139999975]]",4,蚂蚁工场,AF00,310112,伟业路199弄1号
"[[121.38395453999998, 31.10621332500002]]",4,解放大厦3座,AF00,310112,珠城路158
"[[121.56634548000002, 31.10712313499998]]",4,慧利商务大厦,AF00,310115,沪南公路3665号
"[[121.44090959999997, 31.10827171499998]]",4,九润商务大厦,AF00,310112,银都路466弄23号
"[[121.44681251999995, 31.10861259000003]]",4,九润商务大厦,AF00,310104,银都路388号
"[[121.36185072000004, 31.10873449499999]]",4,齐丰商务大楼1号楼,AF00,310112,西环路301号
"[[121.36185072000004, 31.10873449499999]]",4,齐丰商务大楼,AF00,310112,西环路301号
"[[121.37405003999999, 31.108827015000006]]",4,海星大楼,AF00,310112,莘建路65
"[[121.36160105999998, 31.10924461500001]]",4,齐丰商务大楼5号楼,AF00,310112,莘沥路
